hhid,region,town,n_species,n_ecosystems,Sell,autoconsumption,O_uses,n_preparations,n_Agr_pract
1831,Molino-Umari,NA,6,3,0,6,0,3,1
1832,Molino-Umari,NA,4,3,0,4,0,2,1
1833,Molino-Umari,NA,5,1,0,5,0,1,3
1839,Molino-Umari,NA,5,2,0,5,0,2,1
1840,Molino-Umari,NA,8,2,0,8,0,2,1
1845,Molino-Umari,NA,1,2,0,1,0,1,1
1846,Molino-Umari,NA,2,2,0,2,0,1,1
1847,Molino-Umari,NA,3,2,0,3,0,1,1
1848,Molino-Umari,NA,6,2,0,6,0,3,1
1849,Molino-Umari,NA,4,2,0,4,0,1,1
1853,Molino-Umari,NA,2,2,0,2,0,1,1
1854,Molino-Umari,NA,5,2,0,5,0,1,5
1855,Molino-Umari,NA,10,3,0,10,0,3,2
1856,Molino-Umari,NA,6,2,0,6,0,3,4
1858,Molino-Umari,NA,5,3,0,5,0,1,1
1859,Molino-Umari,NA,1,1,0,1,0,1,1
1862,Molino-Umari,NA,3,2,0,3,0,1,1
1863,Molino-Umari,NA,2,2,0,2,0,2,1
1867,Huánuco-Quisqui,Mitocucho,6,1,0,6,0,2,1
1868,Huánuco-Quisqui,Mitocucho,4,2,0,4,0,2,1
1871,Huánuco-Quisqui,Mitocucho,3,2,0,3,0,3,1
1872,Huánuco-Quisqui,Mitocucho,4,2,0,4,0,1,1
1877,Huánuco-Quisqui,Mitocucho,2,2,0,2,0,3,1
1878,Huánuco-Quisqui,Mitocucho,3,4,0,3,0,4,1
1879,Huánuco-Quisqui,Mitocucho,4,3,0,4,0,3,1
1881,Huánuco-Quisqui,Mitocucho,4,2,0,4,0,3,1
1882,Huánuco-Quisqui,Mitocucho,1,1,0,1,0,1,1
1884,Huánuco-Quisqui,Mitocucho,8,4,2,7,0,1,5
1886,Huánuco-Quisqui,Mitocucho,3,2,0,3,0,3,1
1888,Huánuco-Quisqui,Marabamba,3,2,0,3,0,1,1
1889,Huánuco-Quisqui,Mitocucho,2,2,0,2,0,1,1
1892,Huánuco-Quisqui,Mitocucho,2,2,0,2,0,3,1
1894,Molino-Umari,NA,2,2,0,2,0,1,1
1895,Molino-Umari,NA,3,1,0,3,0,1,1
1896,Molino-Umari,NA,3,1,0,3,0,3,2
1898,Molino-Umari,NA,2,3,0,2,0,3,1
1899,Molino-Umari,NA,1,2,0,1,0,1,1
1900,Molino-Umari,NA,2,2,0,2,0,1,1
1902,Molino-Umari,NA,2,1,0,2,0,2,1
1904,Molino-Umari,NA,2,2,0,2,0,1,2
1908,Molino-Umari,NA,1,1,0,1,0,1,1
1909,Molino-Umari,NA,2,1,0,2,0,1,1
1914,Molino-Umari,NA,2,1,0,2,0,1,1
1917,Molino-Umari,NA,7,2,0,7,0,2,1
1918,Molino-Umari,NA,2,2,0,2,0,1,6
1919,Molino-Umari,NA,2,2,0,2,0,1,1
1927,Molino-Umari,NA,4,2,0,4,0,2,1
1933,Molino-Umari,NA,7,2,0,7,0,1,1
1938,Molino-Umari,NA,2,1,0,2,0,1,1
1944,Molino-Umari,NA,10,3,0,10,0,4,6
1949,Molino-Umari,NA,2,3,0,2,0,3,2
1950,Molino-Umari,NA,1,6,0,1,0,1,1
1951,Molino-Umari,NA,6,2,0,6,0,3,4
1952,Molino-Umari,NA,4,2,0,4,0,1,1
1953,Molino-Umari,NA,4,7,0,4,0,3,1
1957,Molino-Umari,NA,3,2,0,3,0,3,6
1958,Molino-Umari,NA,10,3,0,10,0,3,6
1960,Molino-Umari,NA,6,2,0,6,0,3,1
1961,Molino-Umari,NA,8,2,0,8,0,1,1
1965,Molino-Umari,NA,8,4,0,8,0,3,1
1968,Molino-Umari,NA,2,1,0,2,0,1,1
1995,Huánuco-Quisqui,Pampa Verde,1,1,0,1,0,1,1
1997,Molino-Umari,NA,1,1,0,1,0,1,1
